"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000124, 1, 0.000124, x0='7.9466769715940195', x1='-8.686702776049785'
0.035058, 0.042993, 0.059857, 1, 0.024799, x0='7.9466769715940195', x1='-8.686702776049785'
0.100932, 0.020908, 0.351717, 2, 0.250785, x0='3.820724300119389', x1='-2.848474530069394'
0.279430, 0.017495, 2.179118, 3, 1.899688, x0='7.46199469029164', x1='-4.804613281193277'
0.409277, 0.015136, 4.407450, 4, 3.998173, x0='1.1537695568941224', x1='-3.174098477835545'
0.644945, 0.015046, 8.857360, 5, 8.212415, x0='3.6333336287953664', x1='-4.0831235766574085'
